year,population,births,deaths,avg_age,avg_health,infected,recovered,susceptible,vaccinated,multi_infected,mean_resilience,mean_fertility,mean_immunity,genetic_diversity,avg_knowledge,avg_tool_skill,avg_happiness,avg_stress,avg_aggression,friendships,enmities,civilization_index,belief_groups,cults,region_0,region_1,region_2,food_per_capita
0,97,7,0,33.20618556701031,0.7723449103654537,0,0,97,0,0,0.5845096839002684,0.6054389554422719,0.6195482564321969,0.04257158624639571,0.2245376711203902,0.21850500338527384,0.7747505137048554,0.18790687902329195,0.24324399833400084,879,11,0.22182297063958784,4,0,22,18,14,0.8412971373634239
1,101,4,0,32.851485148514854,0.7553359898719514,0,0,101,0,0,0.5883901416560908,0.6027218702899986,0.6214730810961521,0.04164227539739234,0.22793525523534547,0.22399466603909424,0.9504045958624375,0.05796928281092188,0.24787009655702688,1655,19,0.22616199009703242,4,0,24,20,14,0.8609430502447508
2,107,6,0,31.953271028037385,0.7445377292281078,0,0,107,0,0,0.5949185776927255,0.6013369494547726,0.6255347085112398,0.040578455962875556,0.2327097149519675,0.22884473845196754,0.9984745347555617,0.007254703054567183,0.2524186141947514,2356,22,0.23097047552696753,4,0,24,21,15,0.8797299640809547
3,112,5,0,31.482142857142858,0.7332309600067403,0,0,112,0,0,0.5845938824747503,0.6045216072140457,0.630052643754239,0.040283056106428884,0.23638485170770598,0.231884739140413,0.9977443520880209,0.0030638820536575333,0.25315046154380144,2981,20,0.23435980105242415,4,0,23,21,16,0.8806821121856389
4,117,5,0,31.094017094017094,0.7179061700594185,0,0,117,0,0,0.5828080960139467,0.6039727302272129,0.6296124666999925,0.039220183401466796,0.24014761661887118,0.23440881185766288,0.9991145862163365,0.0005033795311677542,0.2511746856025194,3542,20,0.23756515447632748,4,0,23,20,16,0.8722035540479615
5,123,8,2,29.959349593495936,0.7131216169584548,0,0,123,0,0,0.5834878010135923,0.6012893867823476,0.6330797627878892,0.03861559308732438,0.24343120802911283,0.23675854893582893,0.9984930876801736,0.0015655055950602361,0.25221563231894195,4113,19,0.24042851143713506,4,0,24,18,16,0.8806542590482425
6,124,3,2,29.701612903225808,0.7054114233103439,0,0,124,0,0,0.5807770404990984,0.600111370115576,0.6317458959891247,0.0384660139244542,0.24807906324425058,0.24099695167857968,0.9988735326339783,3.2258064516129034e-05,0.25223135189494783,4553,20,0.24489211303969868,4,0,23,18,14,0.9282577002647552
7,127,4,1,29.866141732283463,0.7048592237974083,0,0,127,0,0,0.5767925927580094,0.6018383927155582,0.6280371116297271,0.03783193780615849,0.253029145742548,0.24330047130404414,0.9990243580915995,0.0011556681055605131,0.255873421411027,4905,21,0.24865124224522128,4,0,24,18,13,0.922236111711333
8,125,1,3,29.872,0.685906269973144,0,0,125,0,0,0.5767894771475762,0.5956918260617641,0.6296429361084922,0.03767960737519782,0.257668987834003,0.24682564490272244,0.9989474265555808,0.0005348767659203766,0.25703592826732974,5327,21,0.25278948351492675,4,0,25,17,12,0.9124992106007177
9,131,7,1,28.916030534351144,0.6856893391036026,0,0,131,0,0,0.5789374818081765,0.59095766904331,0.6325178640767807,0.03663227550242543,0.2629964930019658,0.2497776690443139,0.9964901126336387,0.0011113204299395816,0.2518181651060338,5510,20,0.25704802222102247,4,0,26,19,10,0.8907097203075726
10,133,3,1,29.278195488721803,0.68505432912229,0,0,133,0,0,0.5786239771571438,0.5889927183721434,0.6331379051861161,0.035903857684830925,0.2688213524117247,0.25333014070081716,0.9987325274567469,0.0012970113825668337,0.25500916702257614,5914,20,0.26185030714181634,4,0,26,20,8,0.9423815933956925
