food_per_capita,infection_rate,mortality_rate,final_population,avg_health,infected,vaccinated
0.800,0.080,0.010,1,0.0298,0,0
0.800,0.080,0.020,0,0.0000,0,0
0.800,0.080,0.030,0,0.0000,0,0
0.800,0.120,0.010,0,0.0000,0,0
0.800,0.120,0.020,0,0.0000,0,0
0.800,0.120,0.030,0,0.0000,0,0
0.800,0.180,0.010,0,0.0000,0,0
0.800,0.180,0.020,0,0.0000,0,0
0.800,0.180,0.030,0,0.0000,0,0
1.000,0.080,0.010,2,0.6594,0,0
1.000,0.080,0.020,2,0.6594,0,0
1.000,0.080,0.030,2,0.6594,0,0
1.000,0.120,0.010,2,0.6594,0,0
1.000,0.120,0.020,2,0.6594,0,0
1.000,0.120,0.030,2,0.6594,0,0
1.000,0.180,0.010,2,0.6594,0,0
1.000,0.180,0.020,2,0.6594,0,0
1.000,0.180,0.030,2,0.6594,0,0
1.200,0.080,0.010,11,0.4352,0,0
1.200,0.080,0.020,11,0.4352,0,0
1.200,0.080,0.030,11,0.4352,0,0
1.200,0.120,0.010,11,0.4352,0,0
1.200,0.120,0.020,11,0.4352,0,0
1.200,0.120,0.030,11,0.4352,0,0
1.200,0.180,0.010,11,0.4352,0,0
1.200,0.180,0.020,11,0.4352,0,0
1.200,0.180,0.030,11,0.4352,0,0
